序号,日本語,平假名注音,中文,英文
1,私の母は料理ができます。,わたしのはははりょうりができます。,我妈妈会做饭。,My mother can cook.
2,彼は英語が上手です。,かれはえいごがじょうずです。,他英语很流利。,He is good at English.
3,彼女はピアノが苦手です。,かのじょはぴあのがにがてです。,她不擅长弹钢琴。,She is not good at playing the piano.
4,私の兄はサッカーが上手です。,わたしのおにいさんはさっかーがじょうずです。,我哥哥擅长足球。,My older brother is good at soccer.
5,彼は料理が下手です。,かれはりょうりがへたです。,他做饭不好。,He is bad at cooking.
6,私の友達は日本語が分かります。,わたしのともだちはにほんごがわかります。,我的朋友懂日语。,My friend understands Japanese.
7,彼女は数学が苦手です。,かのじょはすうがくがにがてです。,她数学不好。,She is weak in mathematics.
8,私の子供は絵が上手です。,わたしのこどもはえがじょうずです。,我的孩子画画很好。,My child is good at drawing.
9,彼はテニスができます。,かれはてにすができます。,他会打网球。,He can play tennis.
10,彼女は漢字が分かります。,かのじょはかんじがわかります。,她能读懂汉字。,She understands kanji.
