序号,問句,答句
1,今日は何曜日？,今日は月曜日です。
2,明日は何曜日？,明日は火曜日です。
3,昨日は何曜日？,昨日は日曜日でした。
4,休みは何曜日？,休みは土曜日です。
5,テストは何曜日？,テストは金曜日です。
6,会議は何曜日？,会議は水曜日です。
7,授業は何曜日？,授業は木曜日です。
8,誕生日は何曜日？,誕生日は日曜日です。
9,試合は何曜日？,試合は土曜日です。
10,旅行は何曜日？,旅行は火曜日です。
11,締め切りは何曜日？,締め切りは金曜日です。
12,映画は何曜日？,映画は水曜日です。
13,友達と会う日は何曜日？,友達と会う日は木曜日です。
14,次のミーティングは何曜日？,次のミーティングは月曜日です。
15,イベントは何曜日？,イベントは土曜日です。
16,図書館に行く日は何曜日？,図書館に行く日は日曜日です。
17,面接は何曜日？,面接は火曜日です。
18,病院の予約は何曜日？,病院の予約は水曜日です。
19,美容院の予約は何曜日？,美容院の予約は木曜日です。
20,コンサートは何曜日？,コンサートは金曜日です。
21,セールは何曜日？,セールは日曜日です。
22,パーティーは何曜日？,パーティーは土曜日です。
23,ランチの約束は何曜日？,ランチの約束は月曜日です。
24,プレゼンテーションは何曜日？,プレゼンテーションは火曜日です。
25,ワークショップは何曜日？,ワークショップは水曜日です。
26,アルバイトは何曜日？,アルバイトは金曜日です。
27,運動会は何曜日？,運動会は土曜日です。
28,クリスマスは何曜日？,クリスマスは木曜日です。
29,新年は何曜日？,新年は月曜日です。
30,結婚式は何曜日？,結婚式は日曜日です。
31,今週の何曜日？,木曜日です。
32,来週の何曜日ですか？,土曜日です。
33,先週の何曜日に出張しましたか？,金曜日に出張しました。
34,再来週の何曜日に会議がありますか？,火曜日に会議があります。
35,先々週の何曜日に友達と食事に行きましたか？,水曜日に友達と食事に行きました。
36,今週の何曜日に映画を見ますか？,金曜日に映画を見ます。
37,来週の何曜日に休みがありますか？,月曜日に休みがあります。
38,先週の何曜日に新しいプロジェクトが始まりましたか？,火曜日に新しいプロジェクトが始まりました。
39,再来週の何曜日に友達と旅行に行きますか？,土曜日に友達と旅行に行きます。
40,先々週の何曜日は天気が良かったですか？,木曜日は天気が良かったです。
41,今週の何曜日に授業がありますか？,月曜日に授業があります。
42,来週の何曜日に新しい本が発売されますか？,水曜日に新しい本が発売されます。
43,先週の何曜日に友達とカフェに行きましたか？,金曜日に友達とカフェに行きました。
44,再来週の何曜日に家族とピクニックに行きますか？,日曜日に家族とピクニックに行きます。
45,先々週の何曜日に試験がありましたか？,木曜日に試験がありました。
46,今週の何曜日に雨が降りましたか？,水曜日に雨が降りました。
47,来週の何曜日にコンサートに行きますか？,土曜日にコンサートに行きます。
48,先週の何曜日に新しいレストランに行きましたか？,木曜日に新しいレストランに行きました。
49,再来週の何曜日に友達と映画を見ますか？,金曜日に友達と映画を見ます。
50,先々週の何曜日にお祭りに行きましたか？,土曜日にお祭りに行きました。
51,今週の何曜日にお仕事が忙しかったですか？,火曜日にお仕事が忙しかったです。
52,来週の何曜日にスポーツをする予定ですか？,木曜日にスポーツをする予定です。
53,先週の何曜日に友達とショッピングに行きましたか？,水曜日に友達とショッピングに行きました。
54,再来週の何曜日に家族と遠出しますか？,土曜日に家族と遠出します。
55,先々週の何曜日に映画を見ましたか？,金曜日に映画を見ました。
56,今週の何曜日に夕食に何を食べますか？,木曜日に夕食に何を食べますか？
57,来週の何曜日に友達と遊びに行きますか？,土曜日に友達と遊びに行きます。
58,先週の何曜日に新しいカフェを見つけましたか？,木曜日に新しいカフェを見つけました。
59,再来週の何曜日にお祝いがありますか？,金曜日にお祝いがあります。
60,先々週の何曜日に宿題をしましたか？,月曜日に宿題をしました。
