序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,森さんは何時に毎日起きますか？,森さんは毎日7時に起きます。,もりさんはなんじにまいにちおきますか,もりさんはまいにちしちじにおきます。,What time does Mr. Mori wake up every day?,森先生每天几点起床？,Mr. Mori wakes up at 7 AM every day.,森先生每天早上7点起床。
2,森さんは来週金曜日に何をしますか？,森さんは来週金曜日に働きます。,もりさんはらいしゅうきんようびにどこでなにをしますか,もりさんはらいしゅうきんようびにはたらきます。,What will Mr. Mori do next Friday?,森先生下周五做什么？,Mr. Mori will work next Friday.,森先生下周五会工作。
3,森さんは先週の火曜日に何をしましたか？,森さんは先週の火曜日に勉強しました。,もりさんはせんしゅうのかようびになにをしましたか,もりさんはせんしゅうのかようびにべんきょうしました。,What did Mr. Mori do last Tuesday?,森先生上周二做了什么？,Mr. Mori studied last Tuesday.,森先生上周二学习了。
4,森さんは昨日何時に寝ましたか？,森さんは昨日9時に寝ました。,もりさんはきのうなんじにねましたか,もりさんはきのうくじにねました。,What time did Mr. Mori go to bed yesterday?,森先生昨天几点睡觉？,Mr. Mori went to bed at 9 PM yesterday.,森先生昨天晚上9点睡觉。
5,森さんはいつ休みますか？,森さんは今週末に休みます。,もりさんはいつやすみますか,もりさんはこんしゅうまつにやすみます。,When does Mr. Mori take a break?,森先生什么时候休息？,Mr. Mori will take a break this weekend.,森先生这个周末休息。
6,森さんは何時に毎晩読書しますか？,森さんは毎晩10時に読書します。,もりさんはなんじにまいばんどくしょしますか,もりさんはまいばんじゅうじにどくしょします。,What time does Mr. Mori read every night?,森先生每天晚上几点读书？,Mr. Mori reads at 10 PM every night.,森先生每天晚上10点读书。
7,森さんはいつ来月の早朝にジョギングをしますか？,森さんは来月の早朝にジョギングをします。,もりさんはいつらいげつのそうちょうにじょぎんぐをしますか,もりさんはらいげつのそうちょうにじょぎんぐをします。,When will Mr. Mori go jogging early next month?,森先生下个月的早晨什么时候去慢跑？,Mr. Mori will go jogging early next month.,森先生下个月的早晨去慢跑。
8,森さんは先週の土曜日に何をしましたか？,森さんは先週の土曜日にピクニックに行きました。,もりさんはせんしゅうのどようびになにをしましたか,もりさんはせんしゅうのどようびにぴくにっくにいきました。,What did Mr. Mori do last Saturday?,森先生上周六做了什么？,Mr. Mori went on a picnic last Saturday.,森先生上周六去野餐了。
9,森さんは昨日の夜に誰とディナーをしましたか？,森さんは昨日の夜に友達とディナーをしました。,もりさんはきのうのよるにだれとでぃなーをしましたか,もりさんはきのうのよるにともだちとでぃなーをしました。,Who did Mr. Mori have dinner with last night?,森先生昨晚和谁吃了晚餐？,Mr. Mori had dinner with a friend last night.,森先生昨晚和朋友一起吃了晚餐。
10,森さんは何曜日に毎週日本語のクラスを受けますか？,森さんは毎週水曜日に日本語のクラスを受けます。,もりさんはなんようびにまいしゅうにほんごのくらすをうけますか,もりさんはまいしゅうすいようびににほんごのくらすをうけます。,On what day of the week does Mr. Mori take Japanese classes?,森先生每周哪一天上日语课？,Mr. Mori takes Japanese classes every Wednesday.,森先生每周三上日语课。
