序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,このケーキは甘いですか,いいえ、甘くないです。,このけーきはあまいですか,いいえ、あまくないです。,Is this cake sweet?,这个蛋糕甜吗？,No，it is not sweet.,不，它不甜。
2,その雪は白いですか,いいえ、白くありません。,そのゆきはしろいですか,いいえ、しろくありません。,Is the snow white?,雪是白色的吗？,No，it is not white.,不，它不是白色的。
3,この部屋は汚いですか,いいえ、汚くないです。,このへやはきたないですか,いいえ、きたなくないです。,Is this room dirty?,这个房间脏吗？,No，it is not dirty.,不，它不脏。
4,彼の頭が痛いですか,いいえ、痛くありません。,かれのあたまがいたいですか,いいえ、いたくありません。,Is his head hurting?,他的头疼吗？,No，it is not hurting.,不，它不疼。
5,この料理は旨いですか,いいえ、旨くないです。,このりょうりはうまいですか,いいえ、うまくないです。,Is this dish tasty?,这道菜好吃吗？,No，it is not tasty.,不，它不好吃。
6,彼の車は黒いですか,いいえ、黒くありません。,かれのくるまはくろいですか,いいえ、くろくありません。,Is his car black?,他的车是黑色的吗？,No，it is not black.,不，它不是黑色的。
7,そのカーテンは薄いですか,いいえ、薄くないです。,そのかーてんはうすいですか,いいえ、うすくないです。,Is the curtain thin?,窗帘薄吗？,No，it is not thin.,不，它不薄。
8,彼の声が煩いですか,いいえ、煩くありません。,かれのこえがうるさいですか,いいえ、うるさくありません。,Is his voice noisy?,他的声音吵吗？,No，it is not noisy.,不，它不吵。
9,この問題は易いですか,いいえ、易しくないです。,このもんだいはやさしいですか,いいえ、やさしくないです。,Is this problem easy?,这个问题简单吗？,No，it is not easy.,不，它不简单。
10,この池は深いですか,いいえ、深くありません。,このいけはふかいですか,いいえ、ふかくありません。,Is this pond deep?,这个池塘深吗？,No，it is not deep.,不，它不深。
11,彼の答えは正しいですか,いいえ、正しくありません。,かれのこたえはただしいですか,いいえ、ただしくありません。,Is his answer correct?,他的回答正确吗？,No，it is not correct.,不，它不正确。
12,このお茶は苦いですか,いいえ、苦くないです。,このおちゃはにがいですか,いいえ、にがくないです。,Is this tea bitter?,这茶苦吗？,No，it is not bitter.,不，它不苦。
13,その映画は悪いですか,いいえ、悪くありません。,そのえいがはわるいですか,いいえ、わるくありません。,Is that movie bad?,那部电影差吗？,No，it is not bad.,不，它不差。
14,この川は短いですか,いいえ、短くないです。,このかわはみじかいですか,いいえ、みじかくないです。,Is this river short?,这条河短吗？,No，it is not short.,不，它不短。
