序号,日本語,平假名注音,中文,英文
1,日本,にほん,日本,Japan
2,日本人,にほんじん,日本人,Japanese person
3,日本語,にほんご,日语,Japanese
4,中国,ちゅうごく,中国,China
5,中国人,ちゅうごくじん,中国人,Chinese person
6,中国語,ちゅうごくご,汉语,Chinese (language)
7,アメリカ,あめりか,美国,United States
8,アメリカ人,あめりかじん,美国人,American person
9,英語,えいご,英语,English
10,フランス,ふらんす,法国,France
11,フランス人,ふらんすじん,法国人,French person
12,フランス語,ふらんすご,法语,French
13,イタリア,いたりあ,意大利,Italy
14,イタリア人,いたりあじん,意大利人,Italian person
15,イタリア語,いたりあご,意大利语,Italian
16,ドイツ,どいつ,德国,Germany
17,ドイツ人,どいつじん,德国人,German person
18,ドイツ語,どいつご,德语,German
19,スペイン,すぺいん,西班牙,Spain
20,スペイン人,すぺいんじん,西班牙人,Spanish person
21,スペイン語,すぺいんご,西班牙语,Spanish
22,ロシア,ろしあ,俄罗斯,Russia
23,ロシア人,ろしあじん,俄罗斯人,Russian person
24,ロシア語,ろしあご,俄语,Russian
25,ブラジル,ぶらじる,巴西,Brazil
26,ブラジル人,ぶらじるじん,巴西人,Brazilian person
27,ポルトガル語,ぽるとがるご,葡萄牙语,Portuguese
28,イギリス,いぎりす,英国,United Kingdom
29,イギリス人,いぎりすじん,英国人,British person
30,イギリス英語,いぎりすえいご,英国英语,British English
31,カナダ,かなだ,加拿大,Canada
32,カナダ人,かなだじん,加拿大人,Canadian person
33,フランス語,ふらんすご,法语,French
34,オーストラリア,おーすとらりあ,澳大利亚,Australia
35,オーストラリア人,おーすとらりあじん,澳大利亚人,Australian person
36,韓国,かんこく,韩国,South Korea
37,韓国人,かんこくじん,韩国人,Korean person
38,韓国語,かんこくご,韩语,Korean
39,インド,いんど,印度,India
40,インド人,いんどじん,印度人,Indian person
41,ヒンディー語,ひんでぃーご,印地语,Hindi
42,ベトナム,べとなむ,越南,Vietnam
43,ベトナム人,べとなむじん,越南人,Vietnamese person
44,ベトナム語,べとなむご,越南语,Vietnamese
45,フィリピン,ふぃりぴん,菲律宾,Philippines
46,フィリピン人,ふぃりぴんじん,菲律宾人,Filipino person
47,フィリピノ語,ふぃりぴのご,菲律宾语,Filipino
