序号,日本語,平假名注音,中文,英文
1,晴れの日,はれのひ,晴天的日子,Sunny day
2,大事な問題,だいじなもんだい,重要的问题,Important issue
3,欲しい物,ほしいもの,想要的物品,Wanted item
4,便利な道具,べんりなどうぐ,方便的工具,Convenient tool
5,大切な思い出,たいせつなおもいで,珍贵的回忆,Precious memory
6,同じ趣味,おなじしゅみ,相同的爱好,Same hobby
7,綺麗な景色,きれいなけしき,美丽的风景,Beautiful scenery
8,有名な建物,ゆうめいなたてもの,有名的建筑,Famous building
9,にぎやかな場所,にぎやかなばしょ,热闹的地方,Lively place
10,静かな夜,しずかなよる,安静的夜晚,Quiet night
11,親切な人,しんせつなひと,友善的人,Kind person
12,好きな食べ物,すきなたべもの,喜欢的食物,Favorite food
13,不便な場所,ふべんなばしょ,不方便的地方,Inconvenient place
14,簡単な解決策,かんたんなかいけつさく,简单的解决方案,Simple solution
15,元気な子供たち,げんきなこどもたち,活泼的孩子们,Energetic children
16,ハンサムな男性,ハンサムなだんせい,英俊的男性,Handsome man
17,色々な選択肢,いろいろなせんたくし,各种选择,Various options
18,上手な料理人,じょうずなりょうりにん,熟练的厨师,Skilled chef
19,下手な演技,へたなえんぎ,笨拙的表演,Clumsy acting
20,苦手な科目,にがてなかもく,不擅长的科目,Weak subject
21,大好きな映画,だいすきなえいが,喜欢的电影,Favorite movie
22,ユニークなアイデア,ユニークなアイデア,独特的想法,Unique idea
23,安全な環境,あんぜんなかんきょう,安全的环境,Safe environment
24,派手な衣装,はでないしょうぞく,华丽的服装,Flashy outfit
25,地味な生活,じみなせいかつ,朴素的生活,Simple life
26,厳重なセキュリティ,げんじゅうなセキュリティ,严密的安全措施,Tight security
27,真面目な学生,まじめながくせい,认真的学生,Serious student
28,複雑な問題,ふくざつなもんだい,复杂的问题,Complex problem
29,豊かな自然,ゆたかなしぜん,丰富的自然,Abundant nature
30,すてきな贈り物,すてきなおくりもの,精美的礼物,Lovely gift
31,得意なスポーツ,とくいなスポーツ,擅长的运动,Favorite sport
32,新鮮な食材,しんせんなしょくざい,新鲜的食材,Fresh ingredients
33,乱暴な言動,らんぼうなげんどう,粗暴的言行,Rough behavior
34,失礼な行為,しつれいなこうい,失礼的行为,Rude behavior
35,危険な場所,きけんなばしょ,危险的地方,Dangerous place
36,楽しみな計画,たのしみなけいかく,期待的计划,Exciting plan
37,特別なイベント,とくべつなイベント,特别的事件,Special event
38,自由な時間,じゆうなじかん,自由的时间,Free time
39,丁寧な対応,ていねいなたいおう,周到的对待,Prompt response
40,楽な服装,らくなふくそう,轻松的服装,Comfortable outfit
41,残念な結果,ざんねんなけっか,遗憾的结果,Disappointing result
42,優秀な成績,ゆうしゅうなせいせき,优秀的成绩,Excellent performance
43,最高の景色,さいこうのけしき,最美的景色,Stunning scenery
44,へんな冗談,へんなじょうだん,奇怪的笑话,Weird joke
45,完全な満足,かんぜんなまんぞく,完全的满足,Complete satisfaction
46,必要な情報,ひつようなじょうほう,必要的信息,Essential information
47,ほんとの友達,ほんとのともだち,真正的朋友,True friend
48,ぜいたくな生活,ぜいたくなせいかつ,奢华的生活,Luxurious lifestyle
49,大幅な改善,おおはばなかいぜん,大幅改善,Significant improvement
50,大量の食料,たいりょうのしょくりょう,大量的食物,Large quantity of food
51,当然のこと,とうぜんのこと,理所当然的事情,Natural thing
52,丈夫な建物,じょうぶなたてもの,坚固的建筑,Sturdy building
53,確かな証拠,たしかなしょうこ,确凿的证据,Solid evidence
54,重要な意見,じゅうようないけん,重要的意见,Important opinion
55,具体的な計画,ぐたいてきなけいかく,具体的计划,Concrete plan
56,単純な問題,たんじゅんなもんだい,简单的问题,Simple problem
57,理想的な条件,りそうてきなじょうけん,理想的条件,Ideal conditions
58,斬新なアイデア,ざんしんなアイデア,创新的想法,Innovative idea
59,好調な業績,こうちょうなぎょうせき,良好的业绩,Good performance
60,豪華なホテル,ごうかなホテル,豪华的酒店,Luxurious hotel
61,控えめな態度,ひかえめなたいど,谦逊的态度,Modest attitude
62,好評の映画,こうひょうのえいが,受欢迎的电影,Well-received movie
63,急速な成長,きゅうそくなせいちょう,迅速的成长,Rapid growth
64,手軽な料理,てがるなりょうり,便捷的料理,Convenient dish
65,さわやかな風,さわやかなかぜ,清新的风,Refreshing breeze
66,貴重な経験,きちょうなけいけん,宝贵的经历,Valuable experience
67,不思議な現象,ふしぎなげんしょう,神奇的现象,Mysterious phenomenon
