序号,日本語,平假名注音,中文,英文
1,ビニール傘,ビニールがさ,塑料雨伞,plastic umbrella
2,長傘,ながかさ,长伞,long umbrella
3,折りたたみ傘,おりたたみがさ,可折叠伞,folding umbrella
4,日傘,ひがさ,防晒伞,sunshade
5,指,ゆび,手指,finger
6,目眩,めまい,眩晕,dizziness
7,リストラ,リストラ,下岗；解雇,restructuring; layoff
8,電話番号,でんわばんごう,电话号码,phone number
9,パン,パン,面包,bread
10,メール,メール,邮件,mail
11,パスワード,パスワード,密码,password
12,ために,ために,为了,for the sake of
13,アイディア,アイディア,主意,idea
14,ベジタリアン,ベジタリアン,素食主义者,vegetarian
15,子猫,こねこ,小猫,kitten
16,出迎え,でむかえ,欢迎,welcome (greeting)
17,名人,めいじん,名人,master
18,名詞,めいし,名词,noun
19,山本,やまもと,山本（姓）,Yamamoto (surname)
20,伊藤,いとう,伊藤（姓）,Ito (surname)
21,渡辺,わたなべ,渡边（姓）,Watanabe (surname)
22,決める,きめる,决定,decide
23,パンダ,パンダ,熊猫,panda
24,カラス,からす,乌鸦,crow
25,新案,しんあん,新方案,new plan
26,案文,あんぶん,方案文,draft
27,明暗,めいあん,明暗,light and shade
28,暗愚,あんぐ,暗愚,foolishness
29,暗示,あんじ,暗示,hint
30,不安,ふあん,不安,anxiety
31,安価,あんか,低廉,inexpensive
32,以内,いない,以内,within
33,以後,いご,以后,after
34,作業衣,さぎょうい,工作服,work clothes
35,医学,いがく,医学,medicine
36,医療,いりょう,医疗,medical care
37,名医,めいい,名医,renowned doctor
38,依拠,いきょ,依靠,reliance
39,依然,いぜん,依然,still
40,異論,いろん,异议,dissent
41,異同,いどう,不同,differences
42,奇異,きい,奇异,strange
43,移転,いてん,移转,transfer
44,移民,いみん,移民,immigrant
45,推移,すいい,变化,transition
46,語彙,ごい,词汇,vocabulary
47,意見,いけん,意见,opinion
48,決意,けつい,决心,determination
49,違反,いはん,违章,violation
50,違法,いほう,违法,illegal
51,相違,そうい,差异,difference
52,遺棄,いき,遗弃,abandonment
53,遺産,いさん,遗产,inheritance
54,遺失,いしつ,遗失,loss
55,第一位,だいいちい,第一位,first place
56,各位,かくい,各位,everyone
57,囲碁,いご,围棋,go (board game)
58,包囲,ほうい,包围,siege
59,範囲,はんい,范围,range
60,委任,いにん,委任,delegation
61,委員,いいん,委员,committee member
62,委細,いさい,详细,details
63,威力,いりょく,威力,power
64,威圧,いあつ,威压,intimidation
65,示威,しめい,示威,demonstration
66,為政者,いせいしゃ,政治家,politician
67,行為,こうい,行为,action
68,作為,さくい,行为,action
69,畏敬,いけい,畏敬,awe
70,畏怖,いふ,恐惧,fear
71,胃腸,いちょう,胃肠,stomach and intestines
72,胃酸,いさん,胃酸,stomach acid
73,胃弱,いじゃく,胃弱,weak stomach
74,一尉,いちい,一尉,second lieutenant
75,大尉,たいい,大尉,captain
76,萎縮,いしゅく,萎缩,atrophy
77,偉大,いだい,伟大,greatness
78,偉人,いじん,伟人,great person
79,偉観,いかん,伟观,grandeur
80,維持,いじ,维持,maintenance
81,維新,いしん,维新,restoration
82,繊維,せんい,纤维,fiber
83,慰安,いあん,慰安,comfort
84,慰問,いもん,慰问,condolence
85,慰労,いろう,慰劳,consolation
86,緯度,いど,纬度,latitude
87,北緯,ほくい,北纬,northern latitude
88,経緯,けいい,经纬,coordinates
89,引退,いんたい,退役,retirement
90,索引,さくいん,索引,index
91,印刷,いんさつ,印刷,printing
92,印象,いんしょう,印象,impression
93,調印,ちょういん,签署,signing
94,因果,いんが,因果,cause and effect
95,原因,げんいん,原因,cause
96,要因,よういん,要因,factor
97,咽喉,いんこう,咽喉,throat
98,姻族,いんぞく,姻亲,in-laws
99,婚姻,こんいん,婚姻,marriage
100,満員,まんいん,满员,full house
101,定員,ていいん,定员,capacity
102,院内,いんない,院内,inside the hospital
103,議院,ぎいん,议院,parliament
104,淫行,いんこう,淫行,immoral behavior
105,淫乱,いんらん,淫乱,promiscuity
106,陰気,いんき,阴沉,gloomy
107,陰性,いんせい,阴性,negative (test result)
108,光陰,こういん,光阴,time
109,飲料,いんりょう,饮料,beverage
110,飲食,いんしょく,饮食,food and drink
111,痛飲,つういん,痛饮,heavy drinking
112,隠居,いんきょ,隐居,retirement (from public life)
113,隠忍,いんにん,隐忍,patience
114,隠語,いんご,隐语,secret language
115,韻律,いんりつ,韵律,rhythm
116,韻文,いんぶん,韵文,verse
117,音韻,おんいん,音韵,phoneme
118,気宇,きう,气宇,spirit
119,宇宙,うちゅう,宇宙,universe
120,堂宇,どうう,大殿,temple
121,羽毛,うもう,羽毛,feather
122,羽化,うか,羽化,metamorphosis
123,羽翼,うよく,翼,wings
124,雨量,うりょう,雨量,raindrop
125,降雨,こうう,降雨,falling rain
126,運命,うんめい,运命,destiny
127,海運,かいうん,海运,maritime transport
128,雲海,うんかい,云海,sea of clouds
129,風雲,ふううん,风云,changing circumstances
130,積乱雲,せきらんうん,积雨云,cumulonimbus
131,右岸,うがん,右岸,right bank
132,右折,うせつ,右转,right turn
133,右派,うは,右翼,right-wing
