序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,何時に始めましたか？,三年前から日本語を勉強しています。,なんじにはじめましたか,さんねんまえからにほんごをべんきょうしています。,What time did you start?,你是什么时候开始的？,I started studying Japanese three years ago.,我从三年前开始学习日语。
2,明日は何時に会議がありますか？,明日の朝、9時から会議があります。,あしたはなんじにかいぎがありますか,あしたのあさ、くじからかいぎがあります。,What time is the meeting tomorrow?,明天几点钟有会议？,The meeting is at 9 o'clock tomorrow morning.,明天早上9点有会议。
3,何時に迎えに来ますか？,午後3時に到着する予定です。,なんじにむかえにきますか,ごごさんじにとうちゃくするよていです。,What time will you come to pick me up?,你几点钟来接我？,I plan to arrive at 3 PM.,我预计下午3点到达。
4,彼らはいつ出発しますか？,来月この街を出発します。,かれらはいつしゅっぱつしますか,らいげつこのまちをしゅっぱつします。,When will they leave?,他们什么时候出发？,They will leave this town next month.,他们下个月离开这个城市。
5,いつ旅行に行きますか？,来週旅行に行きます。,いつりょこうにいきますか,らいしゅうりょこうにいきます。,When will you go on a trip?,你什么时候去旅行？,I will go on a trip next week.,我下周去旅行。
6,今夜は何をする予定ですか？,今夜は映画を見る予定です。,こんやはなにをするよていですか,こんやはえいがをみるよていです。,What are you planning to do tonight?,今晚你打算做什么？,I plan to watch a movie tonight.,我计划今晚看电影。
7,何時に仕事を始めますか？,毎朝8時から仕事を始めます。,なんじにしごとをはじめますか,まいあさはちじからしごとをはじめます。,What time do you start work?,你几点钟开始工作？,I start work at 8 o'clock every morning.,我每天早上8点开始工作。
8,来週の木曜日は何の日ですか？,来週の木曜日は私の誕生日です。,らいしゅうのもくようびはなんのひですか,らいしゅうのもくようびはわたしのたんじょうびです。,What day is next Thursday?,下周四是什么日子？,Next Thursday is my birthday.,下周四是我的生日。
9,今月末は忙しいですか？,はい、今月末はとても忙しいです。,こんげつまつはいそがしいですか,はい、こんげつまつはとてもいそがしいです。,Are you busy at the end of this month?,这个月末你忙吗？,Yes, I am very busy at the end of this month.,是的，这个月底我非常忙。
10,何時に家に帰りますか？,普段は夜6時に家に帰ります。,なんじにいえにかえりますか,ふだんはよるろくじにいえにかえります。,What time do you go home?,你几点钟回家？,I usually go home at 6 PM.,我通常晚上6点回家。
