序号,日本語,平假名注音,中文,英文
1,ベッドで寝る,ベッドでねる,在床上睡觉,Sleep in bed
2,毎朝早く起きる,まいあさはやくおきる,每天早上早起,Wake up early every morning
3,顔を洗う,かおをあらう,洗脸,Wash face
4,歯を磨く,はをみがく,刷牙,Brush teeth
5,頭を洗う,あたまをあらう,洗头,Wash hair
6,ヘアカットをお願します,ヘアカットをおねがいします,剪头发,Please give me a haircut
7,服を脱ぐ,ふくをぬぐ,脱衣服,Take off clothes
8,服を着る,ふくをきる,穿衣服,Put on clothes
9,お茶を入れる,おちゃをいれる,泡茶,Brew tea
10,お茶を飲む,おちゃをのむ,喝茶,Drink tea
11,ご飯を食べる,ごはんをたべる,吃饭,Eat rice
12,中華料理を作る,ちゅうかりょうりをつくる,做中餐,Make Chinese food
13,タバコを吸う,たばこをすう,吸烟,Smoke a cigarette
14,シャワーを浴びる,シャワーをあびる,洗澡,Take a shower
15,飛行機を運転する,ひこうきをうんてんする,驾驶飞机,Pilot an airplane
16,飛行機が出発する,ひこうきがしゅっぱつする,飞机起飞,The plane departs
17,ギターを練習する,ギターをれんしゅうする,练习吉他,Practice guitar
18,ピアノを弾く,ピアノをひく,弹钢琴,Play piano
19,山に登る,やまにのぼる,爬山,Climb a mountain
20,フランス語を教える,フランスごをおしえる,教法语,Teach French
21,窓を開ける,まどをあける,开窗,Open the window
22,窓を閉める,まどをしめる,关窗,Close the window
23,ドアを開ける,ドアをあける,开门,Open the door
24,ドアを閉める,ドアをしめる,关门,Close the door
25,ドアを引く,ドアをひく,拉门,Pull the door
26,鍵をかける,かぎをかける,锁门,Lock the door
27,鍵を開ける,かぎをあける,开锁,Unlock the door
28,ゴミを出す,ごみをだす,扔垃圾,Take out the trash
29,会社へ行く,かいしゃへいく,去公司,Go to the company
30,銀行へ行く,ぎんこうへいく,去银行,Go to the bank
31,お金を下ろす,おかねをおろす,取钱,Withdraw money
32,お金を払う,おかねをはらう,付款,Pay money
33,お金を返す,おかねをかえす,还钱,Return money
34,音楽を聞く,おんがくをきく,听音乐,Listen to music
35,メールを出す,メールをだす,发邮件,Send an email
36,メールをもらう,メールをもらう,收到邮件,Receive an email
37,メールを受け取る,メールをうけとる,接受邮件,Get an email
38,手紙を書く,てがみをかく,写信,Write a letter
39,海岸をドライブする,かいがんをどらいぶする,沿海岸驾车,Drive along the coast
40,ドライブをする,ドライブをする,驾车,Go for a drive
41,車を止める,くるまをとめる,停车,Stop the car
42,車を洗う,くるまをあらう,洗车,Wash the car
