序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,これは犬ですか,はい、犬です。,これはいぬですか,はい、いぬです。,Is this a dog?,这是狗吗？,Yes，it is a dog.,是的，这是一只狗。
2,それはテレビですか,いいえ、そうではありません。,それはてれびですか,いいえ、そうではありません。,Is that a television?,那是电视吗？,No，it is not.,不，这不是电视。
3,これはテレビですか,はい、テレビです。,これはてれびですか,はい、てれびです。,Is this a television?,这是电视吗？,Yes，it is a television.,是的，这是一台电视。
4,これは時計ですか,はい、時計です。,これはとけいですか,はい、とけいです。,Is this a clock?,这是钟表吗？,Yes，it is a clock.,是的，这是一只钟。
5,それは車ですか,はい、車です。,それはくるまですか,はい、くるまです。,Is that a car?,那是汽车吗？,Yes，it is a car.,是的，那是一辆车。
6,これはコーヒーカップですか,はい、コーヒーカップです。,これはこーひーかっぷですか,はい、こーひーかっぷです。,Is this a coffee cup?,这是咖啡杯吗？,Yes，it is a coffee cup.,是的，这是一只咖啡杯。
7,これは時計ですか,いいえ、そうではありません。,これはとけいですか,いいえ、そうではありません。,Is this a clock?,这是钟表吗？,No，it is not.,不，这不是钟表。
8,それは犬ですか,いいえ、違います。,それはいぬですか,いいえ、ちがいます。,Is that a dog?,那是狗吗？,No，it is not.,不，这不是狗。
9,これはコーヒーカップですか,いいえ、違います。,これはこーひーかっぷですか,いいえ、ちがいます。,Is this a coffee cup?,这是咖啡杯吗？,No，it is not.,不，这不是咖啡杯。
10,これは車ですか,いいえ、違います。,これはくるまですか,いいえ、ちがいます。,Is this a car?,这是汽车吗？,No，it is not.,不，这不是汽车。
