序号,日本語,平假名注音,中文,英文
1,甘いスイーツ,あまいすいーつ,甜点,Sweet dessert
2,白い雲,しろいくも,白云,White clouds
3,汚い水,きたないみず,脏水,Dirty water
4,痛い病気,いたいびょうき,疼痛的疾病,Painful illness
5,旨い料理,うまいりょうり,美味的料理,Delicious dish
6,黒い猫,くろいねこ,黑猫,Black cat
7,薄い氷,うすいこおり,薄冰,Thin ice
8,煩い音,うるさいおと,吵闹的声音,Noisy sound
9,易い問題,やさしいもんだい,简单的问题,Easy problem
10,深い森,ふかいもり,深林,Deep forest
11,正しい答え,ただしいこたえ,正确的答案,Correct answer
12,苦い経験,にがいけいけん,苦涩的经历,Bitter experience
13,悪い癖,わるいくせ,坏习惯,Bad habit
14,短い手紙,みじかいてがみ,短信,Short letter
15,細い線,ほそいせん,细线,Thin line
16,丸い形,まるいかたち,圆形,Round shape
17,安い価格,やすいかかく,便宜的价格,Reasonable price
18,古い家屋,ふるいいえ,古老的房屋,Old house
19,長い旅行,ながいりょこう,长途旅行,Long journey
20,早い朝,はやいあさ,清晨,Early morning
21,太い綱,ふといつな,粗绳,Thick rope
22,速いスピード,はやいすぴーど,快速,High speed
23,近い将来,ちかいしょうらい,不久的将来,Near future
24,詰まらない会話,つまらないかいわ,无聊的对话,Boring conversation
25,小さい子犬,ちいさいこいぬ,小狗,Small puppy
26,狭い道,せまいみち,狭路,Narrow road
27,寒い冬,さむいふゆ,寒冷的冬天,Cold winter
28,面白い本,おもしろいほん,有趣的书籍,Interesting book
29,重い荷物,おもいにもつ,重物,Heavy luggage
30,美味しい料理,おいしいりょうり,美味的料理,Delicious cuisine
31,明るい未来,あかるいみらい,光明的未来,Bright future
32,危ない場所,あぶないばしょ,危险的地方,Dangerous place
33,すごい力,すごいちから,强大的力量,Incredible strength
34,嫌いな食べ物,きらいなたべもの,讨厌的食物,Disliked food
35,暑い日差し,あついひざし,炎热的阳光,Hot sunshine
36,熱いコーヒー,あついこーひー,热咖啡,Hot coffee
37,蒸し暑い夏,むしあついなつ,酷热的夏天,Sweltering summer
38,高い山,たかいやま,高山,High mountain
39,忙しい日々,いそがしいひび,忙碌的日子,Busy days
40,低い声,ひくいこえ,低声,Low voice
41,冷たい雨,つめたいあめ,冰冷的雨,Cold rain
42,不味い料理,まずいりょうり,难吃的料理,Tasteless dish
43,塩辛い味,しおからいあじ,咸味,Salty taste
44,しょっぱい魚,しょっぱいさかな,咸鱼,Salty fish
45,広い部屋,ひろいへや,宽敞的房间,Spacious room
46,良い友情,いいゆうじょう,良好的友谊,Good friendship
47,難しい問題,むずかしいもんだい,困难的问题,Difficult problem
48,易しい課題,やさしいかだい,简单的任务,Simple task
49,辛い体験,つらいたいけん,痛苦的经历,Painful experience
50,少ない時間,すくないじかん,少时间,Few time
51,多い人々,おおいひとびと,许多人,Many people
52,可愛い子犬,かわいいこいぬ,可爱的小狗,Cute puppy
53,可笑しい冗談,おかしいじょうだん,滑稽的笑话,Funny joke
54,親しい友人,したしいゆうじん,亲密的朋友,Close friend
55,寂しい夜,さびしいよる,寂寞的夜晚,Lonely night
56,美しい花,うつくしいはな,美丽的花朵,Beautiful flower
57,詳しい説明,くわしいせつめい,详细的说明,Detailed explanation
58,偉い人,えらいひと,伟大的人物,Great person
59,おかしい笑い声,おかしいわらいごえ,怪笑声,Odd laughter
60,ひどい失敗,ひどいしっぱい,糟糕的失败,Terrible failure
61,もったいない浪費,もったいないろうひ,浪费,Wasteful expenditure
62,悲しい別れ,かなしいわかれ,悲伤的分别,Sad parting
63,弱い動物,よわいどうぶつ,弱小的动物,Weak animal
64,厳しい条件,きびしいじょうけん,严峻的条件,Harsh conditions
65,幅広い知識,はばひろいちしき,广泛的知识,Wide knowledge
66,柔らかいタッチ,やわらかいたっち,柔软的触感,Soft touch
67,力強い援助,ちからづよいえんじょ,有力的支援,Strong support
68,硬い岩,かたいいわ,坚硬的岩石,Hard rock
69,厚い本,あついほん,厚书,Thick book
70,おとなしい猫,おとなしいねこ,安静的猫,Quiet cat
71,恥ずかしい行動,はずかしいこうどう,尴尬的行为,Embarrassing behavior
72,珍しい発見,めずらしいはっけん,稀有的发现,Rare discovery
73,ひどい出来事,ひどいできごと,可怕的事件,Terrible incident
74,粗い質感,あらいしつかん,粗糙的质感,Rough texture
75,軽い荷物,かるいにもつ,轻便的行李,Light luggage
76,優しい言葉,やさしいことば,温柔的话语,Gentle words
77,暗い夜,くらいよる,黑暗的夜晚,Dark night
