序号,日本語,平假名注音,中文,英文
1,私は毎日一時間寝る,わたしはまいにちいちじかんねる,我每天睡一小时,I sleep for about one hour every day
2,彼は昼三時間ぐらい勉強する,かれはひるさんじかんぐらいべんきょうする,他白天大约学习三小时,He studies for about three hours during the day
3,彼女は夜二時間ぐらい待つ,かのじょはよるにじかんぐらいまつ,她晚上大约等待两小时,She waits for about two hours at night
4,私たちは毎日五時間ぐらい運動する,わたしたちはまいにちごじかんぐらいうんどうする,我们每天大约运动五小时,We exercise for about five hours every day
5,彼は夜十時間ぐらい働く,かれはよるじゅうじかんぐらいはたらく,他晚上大约工作十小时,He works for about ten hours at night
6,私は昼四時間ぐらい映画を見る,わたしはひるよじかんぐらいえいがをみる,我白天大约看四小时电影,I watch movies for about four hours during the day
7,彼女は夜六時間散歩する,かのじょはよるろくじかんさんぽする,她晚上散步六小时,She takes a walk for about six hours at night
8,私は毎日七時間ぐらい寝坊する,わたしはまいにちしちじかんぐらいねぼうする,我每天大约睡懒觉七小时,I oversleep for about seven hours every day
9,私は夜八時間旅行する,わたしはよるはちじかんりょこうする,我晚上旅行八小时,I travel for about eight hours at night
10,彼は昼九時間ぐらい読書する,かれはひるきゅうじかんぐらいどくしょする,他白天大约阅读九小时,He reads for about nine hours during the day
