序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,明日の会議は何時ですか？,午前10時ごろです。,あすのかいぎはなんじですか,ごぜんじゅうじごろです。,What time is the meeting tomorrow?,明天的会议是什么时候？,It is around 10 AM.,大约是上午10点。
2,飛行機は何時に出発するの？,午後3時に出発します。,ひこうきはなんじにしゅっぱつするの,ごごさんじにしゅっぱつします。,What time does the plane depart?,飞机几点钟起飞？,It departs at 3 PM.,它下午3点起飞。
3,パーティーは何時からですか？,夕方6時からです。,ぱーてぃーはなんじからですか,ゆうがたろくじからです。,What time does the party start?,派对几点钟开始？,It starts at 6 PM.,它在晚上6点开始。
4,彼は何時に来るのかな？,午後2時ごろに来る予定です。,かれはなんじにくるのかな,ごごにじごろにくるよていです。,What time will he come?,他什么时候来？,He is scheduled to come around 2 PM.,他预计下午2点左右到达。
5,レストランの予約は何時に入れましたか？,昼12時に入れました。,れすとらんのよやくはなんじにいれましたか,ひるじゅうにじにいれました。,What time did you make the reservation for the restaurant?,你预定餐厅的时间是什么时候？,I made the reservation for 12 PM.,我预定的是中午12点。
6,バスは何時に来るんですか？,午前8時半ごろ来ます。,ばすはなんじにくるんですか,ごぜんはちじはんごろきます。,What time does the bus come?,公交车几点钟来？,The bus comes around 8:30 AM.,公交车大约在上午8:30到达。
7,映画は何時から始まるの？,午後7時から始まります。,えいがはなんじからはじまるの,ごごしちじからはじまります。,What time does the movie start?,电影几点钟开始？,It starts at 7 PM.,它在晚上7点开始。
8,この本の発売は何時ですか？,来週の火曜日に発売です。,このほんのはつばいはなんじですか,らいしゅうのかようびにはつばいです。,What time is the book release?,这本书的发售时间是什么时候？,It will be released on Tuesday next week.,将在下周二发布。
9,イベントは何時に終わりますか？,午後10時に終わります。,いべんとはなんじにおわりますか,ごごじゅうじにおわります。,What time does the event end?,活动什么时候结束？,The event ends at 10 PM.,活动在晚上10点结束。
10,明日の天気は何時にわかるんですか？,朝8時ごろにわかります。,あすのてんきはなんじにわかるんですか,あさはちじごろにわかります。,When will we know the weather for tomorrow?,明天的天气什么时候知道？,We will know around 8 AM.,我们大约在早上8点知道。
11,明日の予定は何時に始まりますか？,午前9時に始まります。,あすのよていはなんじにはじまりますか,ごぜんくじにはじまります。,What time does tomorrow's schedule start?,明天的计划几点开始？,It starts at 9 AM.,它在上午9点开始。
12,夜のお祭りは何時に行われますか？,夜10時から行われます。,よるのおまつりはなんじにおこなわれますか,よるじゅうじからおこなわれます。,What time does the night festival start?,夜间的节日几点开始？,It starts at 10 PM.,它在晚上10点开始。
13,この番組は何時から放送されますか？,午後4時から放送されます。,このばんぐみはなんじからほうそうされますか,ごごよじからほうそうされます。,What time does this program start?,这个节目几点钟开始播放？,It airs from 4 PM.,它从下午4点开始播出。
14,ミーティングは何時に終わりますか？,夕方5時に終わります。,みーてぃんぐはなんじにおわりますか,ゆうがたごじにおわります。,What time does the meeting end?,会议什么时候结束？,The meeting ends at 5 PM.,会议在下午5点结束。
15,午後の電車は何時に来ますか？,午後3時に来ます。,ごごのでんしゃはなんじにきますか,ごごさんじにきます。,What time does the afternoon train come?,下午的火车几点钟到达？,The afternoon train comes at 3 PM.,下午的火车在3点到达。
16,お昼ご飯は何時に食べますか？,正午12時ごろ食べます。,おひるごはんはなんじにたべますか,しょうごじゅうにじごろたべます。,What time do you eat lunch?,你几点钟吃午饭？,I eat lunch around 12 PM.,我大约在中午12点吃午饭。
17,朝の散歩は何時に行きますか？,朝6時に行きます。,あさのさんぽはなんじにいきますか,あさろくじにいきます。,What time do you go for your morning walk?,你早晨几点去散步？,I go at 6 AM.,我早上6点去散步。
18,授業は何時に始まりますか？,午前11時に始まります。,じゅぎょうはなんじにはじまりますか,ごぜんじゅういちじにはじまります。,What time does the class start?,课程几点开始？,The class starts at 11 AM.,课程在上午11点开始。
19,仕事は何時に終わりますか？,午後6時に終わります。,しごとはなんじにおわりますか,ごごろくじにおわります。,What time does work end?,工作什么时候结束？,Work ends at 6 PM.,工作在下午6点结束。
20,昨日の夜は何時に寝ましたか？,深夜2時に寝ました。,きのうのよるはなんじにねましたか,しんやにじにねました。,What time did you go to bed last night?,你昨晚几点钟睡觉？,I went to bed at 2 AM.,我昨晚2点钟睡觉。
21,週末の計画は何時に決まりますか？,夕方7時に決まります。,しゅうまつのけいかくはなんじにきまりますか,ゆうがたしちじにきまります。,What time will the weekend plans be decided?,周末的计划几点确定？,The plans will be decided at 7 PM.,计划将在晚上7点确定。
22,昼間の会議は何時にありますか？,午後1時にあります。,ひるまのかいぎはなんじにありますか,ごごいちじにあります。,What time is the daytime meeting?,白天的会议是什么时候？,The meeting is at 1 PM.,会议在下午1点。
23,朝食は何時に食べますか？,朝8時に食べます。,ちょうしょくはなんじにたべますか,あさはちじにたべます。,What time do you have breakfast?,你几点吃早餐？,I have breakfast at 8 AM.,我早上8点吃早餐。
24,何時に帰りますか？,夜11時ごろ帰ります。,なんじにかえりますか,よるじゅういちじごろかえります。,What time will you return home?,你几点钟回家？,I will return home around 11 PM.,我大约在晚上11点回家。
