序号,日本語,平假名注音,中文,英文
1,私は果物や野菜が好きです。,わたしはくだものややさいがすきです。,我喜欢水果和蔬菜。,I like fruits and vegetables.
2,彼は映画や音楽に興味があります。,かれはえいがやおんがくにきょうみがあります。,他对电影和音乐感兴趣。,He is interested in movies and music.
3,この店には本や雑誌がたくさんあります。,このみせにはほんやざっしがたくさんあります。,这家店有很多书和杂志。,This store has many books and magazines.
4,私はコーヒーや紅茶を飲みます。,わたしはこーひーやこうちゃをのみます。,我喝咖啡和红茶。,I drink coffee and tea.
5,彼女は日本語や英語を話します。,かのじょはにほんごやえいごをはなします。,她说日语和英语。,She speaks Japanese and English.
6,週末に公園や博物館に行きます。,しゅうまつにこうえんやはくぶつかんにいきます。,我周末去公园和博物馆。,I go to parks and museums on weekends.
7,このレストランには寿司や刺身があります。,このれすとらんにはすしやさしみがあります。,这家餐厅有寿司和刺身。,This restaurant has sushi and sashimi.
8,彼はサッカーやバスケットボールが得意です。,かれはさっかーやばすけっとぼーるがとくいです。,他擅长足球和篮球。,He is good at soccer and basketball.
9,私の家にはテレビや冷蔵庫があります。,わたしのいえにはてれびやれいぞうこがあります。,我家有电视和冰箱。,My house has a TV and a refrigerator.
10,彼は歴史や地理を勉強しています。,かれはれきしやちりをべんきょうしています。,他在学习历史和地理。,He is studying history and geography.
