index,kanji,hiragana
187,3分の2,さんぶんのに
188,鳥,とり
189,よく,よく
190,散歩する,さんぽする
191,勉強する,べんきょうする
192,鈴,すず
193,鈴木,すずき
194,時々,ときどき
195,遊び,あそび
196,高橋,たかはし
197,冬,ふゆ
198,天麩羅,てんぷら
199,赤,あか
200,青,あお
201,照り焼き,てりやき
202,風,かぜ
203,果物,くだもの
204,背中,せなか
205,目,め
206,耳,みみ
207,お酒,おさけ
208,白い,しろい
209,汚い,きたない
210,晴れ,はれ
211,野菜,やさい
212,お茶,おちゃ
213,弁当,べんとう
214,えもじ,えもじ
215,夏,なつ
216,切符,きっぷ
217,英語,えいご
218,外,そと
219,部屋,へや
220,漫画,まんが
221,イギリス人,イギリスじん
222,ドイツ人,どいつじん
223,お手洗い,おてあらい
224,薬,くすり
225,午前,ごぜん
226,自動車,じどうしゃ
227,痛い,いたい
228,泥棒,どろぼう
229,布団,ふとん
230,打つ,うつ
231,空く,すく
232,旨い,うまい
233,財布,さいふ
234,見本,みほん
235,苛める,いじめる
236,金,かね
237,訓練する,くんれんする
238,パンツ,パンツ
239,名刺,めいし
240,唯一,ゆいいつ
241,眉,まゆ
242,詫び,わび
243,もがく,もがく
244,明日,あした
245,頭,あたま / とう
246,兄,あに
247,アパート,アパート
248,雨,あめ
249,幾つ,いくつ
250,一番,いちばん
251,五日,いつか
252,意味,いみ
253,五つ,いつつ
254,妹,いもうと
255,色,いろ
256,岩,いわ
257,後ろ,うしろ
258,歌,うた
259,お菓子,おかし
260,奥さん,おくさん
261,お皿,おさら
262,叔父さん,おじさん
263,お爺さん,おじいさん
264,お父さん,おとうさん
265,弟,おとうと
266,一昨日,おととい
267,一昨年,おととし
268,大人,おとな
269,腹,おなか／はら
270,お兄さん,おにいさん
271,おばさん,おばさん
272,お風呂,おふろ
273,お巡りさん,おまわりさん
274,女,おんな
275,外国,がいこく
276,階段,かいだん
277,買い物,かいもの
278,顔,かお
279,風邪,かぜ
280,片仮名,かたかな
281,角,かど
282,漢字,かんじ
283,口,くち
284,靴下,くつした
