序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,今日は何曜日？,今日は月曜日です。,きょうはなんようび？,きょうはげつようびです。,What day is it today?,今天星期幾？,Today is Monday.,今天是星期一。
2,明日は何曜日？,明日は火曜日です。,あしたはなんようび？,あしたはかようびです。,What day is tomorrow?,明天星期幾？,Tomorrow is Tuesday.,明天是星期二。
3,昨日は何曜日？,昨日は日曜日でした。,きのうはなんようび？,きのうはにちようびでした。,What day was yesterday?,昨天星期幾？,Yesterday was Sunday.,昨天是星期日。
4,休みは何曜日？,休みは土曜日です。,やすみはなんようび？,やすみはどようびです。,What day is the day off?,休息星期幾？,The day off is Saturday.,休息是星期六。
5,テストは何曜日？,テストは金曜日です。,てすとはなんようび？,てすとはきんようびです。,What day is the test?,測試星期幾？,The test is on Friday.,測試是星期五。
6,会議は何曜日？,会議は水曜日です。,かいぎはなんようび？,かいぎはすいようびです。,What day is the meeting?,會議星期幾？,The meeting is on Wednesday.,會議是星期三。
7,授業は何曜日？,授業は木曜日です。,じゅぎょうはなんようび？,じゅぎょうはもくようびです。,What day is class?,上課星期幾？,Class is on Thursday.,上課是星期四。
8,誕生日は何曜日？,誕生日は日曜日です。,たんじょうびはなんようび？,たんじょうびはにちようびです。,What day is your birthday?,生日星期幾？,Birthday is on Sunday.,生日是星期日。
9,試合は何曜日？,試合は土曜日です。,しあいはなんようび？,しあいはどようびです。,What day is the match?,比賽星期幾？,The match is on Saturday.,比賽是星期六。
10,旅行は何曜日？,旅行は火曜日です。,りょこうはなんようび？,りょこうはかようびです。,What day is the trip?,旅行星期幾？,The trip is on Tuesday.,旅行是星期二。
11,締め切りは何曜日？,締め切りは金曜日です。,しめきりはなんようび？,しめきりはきんようびです。,What day is the deadline?,截止日期星期幾？,The deadline is on Friday.,截止日期是星期五。
12,映画は何曜日？,映画は水曜日です。,えいがはなんようび？,えいがはすいようびです。,What day is the movie?,電影星期幾？,The movie is on Wednesday.,電影是星期三。
13,友達と会う日は何曜日？,友達と会う日は木曜日です。,ともだちとあうひはなんようび？,ともだちとあうひはもくようびです。,What day do you meet your friends?,與朋友見面星期幾？,I meet my friends on Thursday.,我星期四見朋友。
14,次のミーティングは何曜日？,次のミーティングは月曜日です。,つぎのみーてぃんぐはなんようび？,つぎのみーてぃんぐはげつようびです。,What day is the next meeting?,下次會議星期幾？,The next meeting is on Monday.,下次會議是星期一。
15,イベントは何曜日？,イベントは土曜日です。,いべんとはなんようび？,いべんとはどようびです。,What day is the event?,活動星期幾？,The event is on Saturday.,活動是星期六。
16,図書館に行く日は何曜日？,図書館に行く日は日曜日です。,としょかんにいくひはなんようび？,としょかんにいくひはにちようびです。,What day do you go to the library?,去圖書館星期幾？,I go to the library on Sunday.,我星期日去圖書館。
17,面接は何曜日？,面接は火曜日です。,めんせつはなんようび？,めんせつはかようびです。,What day is the interview?,面試星期幾？,The interview is on Tuesday.,面試是星期二。
18,病院の予約は何曜日？,病院の予約は水曜日です。,びょういんのよやくはなんようび？,びょういんのよやくはすいようびです。,What day is the hospital appointment?,醫院預約星期幾？,The hospital appointment is on Wednesday.,醫院預約是星期三。
19,美容院の予約は何曜日？,美容院の予約は木曜日です。,びよういんのよやくはなんようび？,びよういんのよやくはもくようびです。,What day is the beauty salon appointment?,美容院預約星期幾？,The beauty salon appointment is on Thursday.,美容院預約是星期四。
20,コンサートは何曜日？,コンサートは金曜日です。,こんさーとはなんようび？,こんさーとはきんようびです。,What day is the concert?,音樂會星期幾？,The concert is on Friday.,音樂會是星期五。
21,セールは何曜日？,セールは日曜日です。,せーるはなんようび？,せーるはにちようびです。,What day is the sale?,特賣星期幾？,The sale is on Sunday.,特賣是星期日。
22,パーティーは何曜日？,パーティーは土曜日です。,ぱーてぃーはなんようび？,ぱーてぃーはどようびです。,What day is the party?,派對星期幾？,The party is on Saturday.,派對是星期六。
23,ランチの約束は何曜日？,ランチの約束は月曜日です。,らんちのやくそくはなんようび？,らんちのやくそくはげつようびです。,What day is the lunch appointment?,午餐約會是星期幾？,The lunch appointment is on Monday.,午餐約會是星期一。
24,プレゼンテーションは何曜日？,プレゼンテーションは火曜日です。,ぷれぜんてーしょんはなんようび？,ぷれぜんてーしょんはかようびです。,What day is the presentation?,簡報是星期幾？,The presentation is on Tuesday.,簡報是星期二。
