序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,このケーキは甘いですか,いいえ、あまり甘くないです。,このけーきはあまいですか,いいえ、あまりあまくないです。,Is this cake sweet?,这个蛋糕甜吗？,No，it's not very sweet.,不，味道不太甜。
2,その雪は白いですか,いいえ、少し黄色みがかっています。,そのゆきはしろいですか,いいえ、すこしきいろみがかっています。,Is that snow white?,那雪是白色的吗？,No，it has a slight yellowish tint.,不，它有一点点黄色的 tint。
3,この部屋は汚いですか,いいえ、きれいに掃除されています。,このへやはきたないですか,いいえ、きれいにそうじされています。,Is this room dirty?,这个房间脏吗？,No，it is clean and well-organized.,不，这个房间很干净。
4,彼の頭が痛いですか,いいえ、全く痛くありません。,かれのあたまがいたいですか,いいえ、まったくいたくありません。,Is his head hurting?,他的头疼吗？,No，it doesn't hurt at all.,不，完全不疼。
5,この料理は旨いですか,いいえ、まずいです。,このりょうりはうまいですか,いいえ、まずいです。,Is this dish delicious?,这道菜好吃吗？,No，it is not tasty.,不，不好吃。
6,彼の車は黒いですか,いいえ、実は白です。,かれのくるまはくろいですか,いいえ、じつはしろいです。,Is his car black?,他的车是黑色的吗？,No，actually it is white.,不，实际上是白色的。
7,そのカーテンは薄いですか,いいえ、厚手です。,そのかーてんはうすいですか,いいえ、あつでです。,Are those curtains thin?,那些窗帘薄吗？,No，they are thick.,不，它们很厚。
8,彼の声が煩いですか,いいえ、静かです。,かれのこえがうるさいですか,いいえ、しずかです。,Is his voice loud?,他的声音吵吗？,No，it is quiet.,不，他的声音很安静。
9,この問題は易いですか,いいえ、難しいです。,このもんだいはやさしいですか,いいえ、むずかしいです。,Is this problem easy?,这个问题简单吗？,No，it is difficult.,不，它很难。
10,この池は深いですか,いいえ、浅いです。,このいけはふかいですか,いいえ、あさいです。,Is this pond deep?,这个池塘深吗？,No，it is shallow.,不，它很浅。
11,彼の答えは正しいですか,いいえ、間違っています。,かれのこたえはただしいですか,いいえ、まちがっています。,Is his answer correct?,他的回答正确吗？,No，it is incorrect.,不，它不正确。
12,このお茶は苦いですか,いいえ、甘いです。,このおちゃはにがいですか,いいえ、あまいです。,Is this tea bitter?,这个茶苦吗？,No，it is sweet.,不，它是甜的。
13,その映画は悪いですか,いいえ、良かったです。,そのえいがはわるいですか,いいえ、よかったです。,Is that movie bad?,那部电影差吗？,No，it was good.,不，那部电影很好。
14,この川は短いですか,いいえ、長いです。,このかわはみじかいですか,いいえ、ながいです。,Is this river short?,这条河短吗？,No，it is long.,不，它很长。
15,その糸は細いですか,いいえ、太いです。,そのいとはほそいですか,いいえ、ふといです。,Is that thread thin?,那根线细吗？,No，it is thick.,不，它很粗。
16,そのテーブルは丸いですか,いいえ、四角いです。,そのてーぶるはまるいですか,いいえ、しかくいです。,Is that table round?,那张桌子是圆形的吗？,No，it is square.,不，它是方形的。
17,この本は安いですか,いいえ、高いです。,このほんはやすいですか,いいえ、たかいです。,Is this book cheap?,这本书便宜吗？,No，it is expensive.,不，它很贵。
18,この家は古いですか,いいえ、新しいです。,このいえはふるいですか,いいえ、あたらしいです。,Is this house old?,这栋房子旧吗？,No，it is new.,不，它是新的。
19,その列車は長いですか,いいえ、短いです。,そのれっしゃはながいですか,いいえ、みじかいです。,Is that train long?,那列火车长吗？,No，it is short.,不，它很短。
20,彼の反応は早いですか,いいえ、遅いです。,かれのはんのうははやいですか,いいえ、おそいです。,Is his reaction quick?,他的反应快吗？,No，it is slow.,不，它很慢。
21,この木は太いですか,いいえ、細いです。,このきはふといですか,いいえ、ほそいです。,Is this tree thick?,这棵树粗吗？,No，it is thin.,不，它很细。
22,その車は速いですか,いいえ、遅いです。,そのくるまははやいですか,いいえ、おそいです。,Is that car fast?,那辆车快吗？,No，it is slow.,不，它很慢。
23,彼の家は駅に近いですか,いいえ、遠いです。,かれのいえはえきにちかいですか,いいえ、とおいです。,Is his house near the station?,他的家离车站近吗？,No，it is far.,不，它很远。
24,このパイプは詰まらないですか,いいえ、詰まっています。,このぱいぷはつまらないですか,いいえ、つまっています。,Is this pipe not clogged?,这个管道堵塞吗？,No，it is clogged.,不，它堵塞了。
25,この犬は小さいですか,いいえ、大きいです。,このいぬはちいさいですか,いいえ、おおきいです。,Is this dog small?,这只狗小吗？,No，it is big.,不，它很大。
26,この部屋は狭いですか,いいえ、広いです。,このへやはせまいですか,いいえ、ひろいです。,Is this room small?,这个房间狭小吗？,No，it is spacious.,不，它很宽敞。
27,今日は寒いですか,いいえ、暖かいです。,きょうはさむいですか,いいえ、あたたかいです。,Is it cold today?,今天冷吗？,No，it is warm.,不，它很暖和。
28,その映画は面白いですか,いいえ、つまらなかったです。,そのえいがはおもしろいですか,いいえ、つまらなかったです。,Is that movie interesting?,那部电影有趣吗？,No，it was boring.,不，它很无聊。
29,彼のかばんは重いですか,いいえ、軽いです。,かれのかばんはおもいですか,いいえ、かるいです。,Is his bag heavy?,他的包重吗？,No，it is light.,不，它很轻。
