序号,問句,答句,問句-平仮名,答句-平仮名,問句-英语,問句-中文,答句-英语,答句-中文
1,その本はだれのですか,私のです。,そのほんはだれのですか,わたしのです。,Whose book is that?,那本书是谁的？,It's mine.,是我的。
2,その車はだれのですか,彼のです。,そのくるまはだれのですか,かれのです。,Whose car is that?,那辆车是谁的？,It's his.,是他的。
3,その犬はだれのですか,彼女のです。,そのいぬはだれのですか,かのじょのです。,Whose dog is that?,那只狗是谁的？,It's hers.,是她的。
4,その家はだれのですか,私たちのです。,そのいえはだれのですか,わたしたちのです。,Whose house is that?,那座房子是谁的？,It's ours.,是我们的。
5,その携帯電話はだれのですか,彼のです。,そのけいたいでんわはだれのですか,かれのです。,Whose cellphone is that?,那部手机是谁的？,It's his.,是他的。
6,そのコンピュータはだれのですか,彼のです。,そのこんぴゅーたはだれのですか,かれのです。,Whose computer is that?,那台电脑是谁的？,It's his.,是他的。
7,その時計はだれのですか,彼女のです。,そのとけいはだれのですか,かのじょのです。,Whose watch is that?,那只手表是谁的？,It's hers.,是她的。
8,そのカバンはだれのですか,私のです。,そのかばんはだれのですか,わたしのです。,Whose bag is that?,那只包是谁的？,It's mine.,是我的。
9,その写真はだれのですか,彼のです。,そのしゃしんはだれのですか,かれのです。,Whose photo is that?,那张照片是谁的？,It's his.,是他的。
10,そのメガネはだれのですか,彼女のです。,そのめがねはだれのですか,かのじょのです。,Whose glasses are those?,那副眼镜是谁的？,It's hers.,是她的。
