序号,日本語,平假名注音,中文,英文
1,りんごを三個食べる,りんごをさんこたべる,吃三个苹果,Eat three apples
2,猫が二匹います,ねこがにひきいます,有两只猫,There are two cats
3,本を五冊読む,ほんをごさつよむ,读五本书,Read five books
4,子供が十人遊ぶ,こどもがじゅうにんあそぶ,十个孩子在玩,Ten children are playing
5,鳥が三羽飛んでいる,とりがさんわとんでいる,三只鸟在飞,Three birds are flying
6,車を二台買う,くるまをにだいかう,买两辆车,Buy two cars
7,花が十輪咲いています,はながじゅうわんさいています,十朵花开了,There are ten flowers blooming
8,水を五杯飲む,みずをごはいのむ,喝五杯水,Drink five glasses of water
9,友達が四人来る,ともだちがよにんくる,四个朋友来了,Four friends are coming
10,写真を八枚撮る,しゃしんをはちまいとる,拍八张照片,Take eight photos
